"date","freq"
"2017-09-03",16
"2017-08-26",16
"2017-08-21",16
"2017-05-05",16
"2017-04-13",16
"2017-01-18",16
"2017-01-14",16
"2016-12-27",16
"2016-12-23",16
"2016-12-22",16
"2016-12-13",16
"2016-06-22",16
"2016-06-21",16
"2016-06-11",16
"2016-05-30",16
"2016-05-13",16
"2016-05-05",16
"2016-04-28",16
"2016-04-27",16
"2016-04-01",16
"2016-03-29",16
"2016-03-27",16
"2015-07-12",16
"2015-07-11",16
"2015-04-06",16
"2015-04-02",16
"2015-03-30",16
"2015-03-23",16
"2015-03-01",16
"2014-10-23",16
"2014-10-14",16
"2018-09-11",15
"2018-09-07",15
"2018-08-21",15
"2018-08-19",15
"2018-07-27",15
"2018-06-20",15
"2018-06-08",15
"2018-06-05",15
"2018-06-03",15
"2018-05-17",15
"2018-05-03",15
"2018-03-15",15
"2018-02-23",15
"2018-02-04",15
"2017-11-22",15
"2017-10-25",15
"2017-09-12",15
"2017-07-25",15
"2017-07-06",15
"2017-06-29",15
"2017-06-28",15
"2017-06-25",15
"2017-04-27",15
"2017-04-19",15
"2017-04-12",15
"2017-02-17",15
"2017-01-28",15
"2017-01-15",15
"2017-01-07",15
"2017-01-04",15
"2016-12-24",15
"2016-12-19",15
"2016-11-19",15
"2016-06-29",15
"2016-06-02",15
"2016-05-02",15
"2016-04-23",15
"2015-03-31",15
"2015-02-14",15
"2018-10-19",14
"2018-10-12",14
"2018-09-10",14
"2018-09-09",14
"2018-08-13",14
"2018-08-11",14
"2018-08-09",14
"2018-07-16",14
"2018-07-08",14
"2018-07-01",14
"2018-06-29",14
"2018-06-19",14
"2018-05-30",14
"2018-05-02",14
"2018-04-30",14
"2018-04-28",14
"2018-04-16",14
"2018-04-09",14
"2018-03-19",14
"2018-03-13",14
"2018-02-21",14
"2018-02-13",14
"2018-02-08",14
"2018-01-05",14
"2017-12-28",14
"2017-12-04",14
"2017-11-17",14
"2017-11-07",14
"2017-10-23",14
"2017-10-18",14
"2017-10-02",14
"2017-09-13",14
"2017-07-28",14
"2017-05-08",14
"2017-03-30",14
"2017-03-28",14
"2017-03-21",14
"2017-03-05",14
"2017-02-20",14
"2017-01-24",14
"2017-01-13",14
"2017-01-10",14
"2016-12-18",14
"2016-06-23",14
"2016-05-28",14
"2016-05-17",14
"2016-05-01",14
